Starting Stratum Web Server on http://localhost:8080...
Integrated MCP SSE Server listening at http://localhost:8080/api/mcp
2026/09/10 18:30:51 [HTTP] GET /api/projects - 200 (80.731µs)
2026/09/10 18:30:55 [HTTP] GET /api/export/files?project=Biofoundry_publications - 200 (5.426136ms)
2026/09/10 18:30:58 [HTTP] GET /api/export/check-db?project=Biofoundry_publications&file=biofoundry_imputed.duckdb - 200 (187.762535ms)
2026/09/10 18:31:05 [HTTP] GET /api/export/check-db?project=Biofoundry_publications&file=biofoundry_imputed.duckdb - 200 (173.329562ms)
2026/09/10 18:31:11 [HTTP] GET /api/pipeline/status?project=uav_tech - 200 (65.645µs)
2026/09/10 18:31:11 [HTTP] GET /api/workspace - 200 (25.495µs)
2026/09/10 18:31:11 [HTTP] GET /api/projects - 200 (80.682µs)
2026/09/10 18:31:11 [HTTP] GET /api/pipeline/status?project=uav_tech - 200 (62.382µs)
2026/09/10 18:31:11 [HTTP] GET /api/workspace - 200 (45.553µs)
2026/09/10 18:31:11 [HTTP] GET /api/projects - 200 (263.474µs)
2026/09/10 18:31:11 [HTTP] GET /api/config?project=uav_tech - 200 (16.912421ms)
2026/09/10 18:31:11 [HTTP] GET /api/config?project=uav_tech - 200 (3.258117ms)
2026/09/10 18:31:54 [HTTP] POST /api/openalex/count?project=uav_tech - 200 (33.893917274s)
2026/09/10 18:32:19 [HTTP] GET /api/export/files?project=uav_tech - 200 (1.98097ms)
2026/09/10 18:32:19 [HTTP] GET /api/export/files?project=uav_tech - 200 (1.581105ms)
2026/09/10 18:32:19 [HTTP] GET /api/export/check-db?project=uav_tech&file=uav_tech.db - 200 (33.071141ms)
2026/09/10 18:32:19 [HTTP] GET /api/export/check-db?project=uav_tech&file=uav_tech.db - 200 (22.642852ms)
2026/09/10 18:32:58 [HTTP] GET /api/export/files?project=6G - 200 (2.271473ms)
2026/09/10 18:32:58 [HTTP] GET /api/export/check-db?project=6G&file=uav_tech.db - 200 (23.953161ms)
2026/09/10 18:33:02 [HTTP] GET /api/export/check-db?project=6G&file=uav_tech.db - 200 (29.689088ms)
2026/09/10 18:33:06 [HTTP] GET /api/export/check-db?project=6G&file=6G.duckdb - 200 (114.926445ms)
2026/09/10 18:33:58 [HTTP] GET /api/export/check-db?project=6G&file=%2Fhome%2Fkrishnakumar%2FStratumProjects%2Fprojects%2FBiofoundry_publications%2Fdata%2FBiofoundry_publications.db - 200 (29.294493ms)
2026/09/10 18:34:00 [HTTP] GET /api/export/check-db?project=6G&file=%2Fhome%2Fkrishnakumar%2FStratumProjects%2Fprojects%2Fuav_tech%2Fdata%2Fuav_tech.db - 200 (29.022806ms)
2026/09/10 18:34:01 [HTTP] GET /api/export/check-db?project=6G&file=%2Fhome%2Fkrishnakumar%2FStratumProjects%2Fprojects%2FBiofoundry_publications%2Fdata%2FBiofoundry_publications.db - 200 (22.172844ms)
2026/09/10 18:34:02 [HTTP] GET /api/export/check-db?project=6G&file=%2Fhome%2Fkrishnakumar%2FStratumProjects%2Fprojects%2F6G%2Fdata%2F6G.db - 200 (139.3887ms)
2026/09/10 18:45:07 [HTTP] GET /api/projects - 200 (80.181µs)
2026/09/10 18:45:07 [HTTP] GET /api/workspace - 200 (143.198µs)
2026/09/10 18:45:07 [HTTP] GET /api/projects - 200 (98.667µs)
2026/09/10 18:45:07 [HTTP] GET /api/export/files?project=6G - 200 (1.964155ms)
2026/09/10 18:45:07 [HTTP] GET /api/workspace - 200 (26.961µs)
2026/09/10 18:45:07 [HTTP] GET /api/export/files?project=6G - 200 (1.653875ms)
2026/09/10 18:45:08 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (535.702111ms)
2026/09/10 18:45:08 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (492.760685ms)
2026/09/10 18:48:52 [HTTP] GET /api/export/check-db?project=Biofoundry_publications&file=biofoundry_imputed.duckdb - 200 (205.310555ms)
2026/09/10 18:51:25 [HTTP] GET /api/projects - 200 (88.375µs)
2026/09/10 18:51:25 [HTTP] GET /api/workspace - 200 (40.094µs)
2026/09/10 18:51:25 [HTTP] GET /api/export/files?project=6G - 200 (2.316297ms)
2026/09/10 18:51:25 [HTTP] GET /api/projects - 200 (81.088µs)
2026/09/10 18:51:25 [HTTP] GET /api/workspace - 200 (35.518µs)
2026/09/10 18:51:25 [HTTP] GET /api/export/files?project=6G - 200 (1.553394ms)
